Table S1. Accession information for genomes screened in the current study				
				
Species	Strain ID	NCBI Genome Accession	Publication	SRA accession
Y. pseudotuberculosis	B-6796	CAQT00000000	Platonov et al. unpub	N/A
Y. pseudotuberculosis	B-6862	CAQU00000000	Platonov et al. 2013	N/A
Y. pseudotuberculosis	B-6863	CAQV00000000	Platonov et al. 2013	N/A
Y. pseudotuberculosis	B-6864	CAQW00000000	Platonov et al. 2013	N/A
Y. pseudotuberculosis	B-6865	CAQX00000000	Platonov et al. 2013	N/A
Y. pseudotuberculosis	B-6866	CAQY00000000	Platonov et al. 2013	N/A
Y. pseudotuberculosis	B-7194	CBKS00000000	Blouin et al. 2013	N/A
Y. pseudotuberculosis	B-7195	CBKR00000000	Blouin et al. 2013	N/A
Y. pseudotuberculosis	IP31758	CP000720,CP000719,CP000718	Eppinger et al. 2007	N/A
Y. pseudotuberculosis	IP32953	BX936398,BX936400,BX936399	Chain et al. 2004	N/A
Y. pseudotuberculosis	NBRC105692	BAUR00000000	Yoshida et al. unpub	N/A
Y. pseudotuberculosis	PB1/+	CP001048,CP001049	Challacombe et al. unpub	N/A
Y. pseudotuberculosis	YPIII	CP000950	Challacombe et al. unpub	N/A
Y. pestis plasmid pCD1 plasmid	CO92	AL117189	Parkhill et al. 1999	N/A
Y. pestis plasmid pMT1 plasmid	CO92	AL117211	Prentice et al. 2001	N/A
Y. pestis plasmid pCP plasmid	CO92	AL109969	Parkhill et al. 1999	N/A
Y. pestis plasmid pCRY plasmid	91001	AE017044	Song et al. 2004	N/A
Y. pseudotuberculosis pGDT4 plasmid		NC_011759	Lesic et al. 2012	N/A
Y .pestis	BD pool	N/A	Bos et al. 2011	SRP008060
Y. pestis	6330	N/A	Bos et al. 2011	SRR341960
Y. pestis	A120	N/A	Wagner et al. 2014	SRP033879
